emotion,valence,arousal,time,seconds,number
joy,0.64,0.50,10,280,1
joy,0.82,0.38,18,360,2
joy,0.71,0.37,15,665,3
anticipation,0.21,0.82,10,1110,4
fear,-0.85,0.05,7,1730,5
surprise,0.05,-0.67,20,2050,6
joy,0.37,0.23,20,2640,7
surprise,0.1,-0.8,15,3050,8
anticipation,0.19,0.81,15,3260,9
surprise,0.15,-0.5,15,3735,10
joy,0.9,0.56,20,3875,11
trust,0.9,-0.2,15,4600,12
joy,0.8,0.26,20,4810,13
anger,-0.2,0.8,20,5000,14
surprise,0.4,-0.6,25,5041,15
surprise,0.15,-0.9,10,5130,16
fear,-0.75,-0.05,5,5220,17
joy,0.7,0.56,11,5460,18
anticipation,0.05,0.9,10,6015,19
anticipation,0.63,0.84,5,6257,20
sadness,-0.64,-0.64,15,6301,21
trust,0.67,-0.7,10,6437,22
surprise,0.1,-0.9,10,6675,23
anticipation,0.3,0.9,10,6702,24
joy,0.69,0.55,3,6712,25
